barrio,distrito,price,size,rooms,bathrooms
Navas,Sant Andreu,1350.0,118,3,2
Navas,Sant Andreu,1100.0,95,3,2
Fort Pienc,L'Eixample,1650.0,84,3,1
Vallcarca i els Penitents,Sarrià-Sant Gervasi,1300.0,75,2,1
Sant Antoni,L'Eixample,1175.0,98,3,1
el Raval,Ciutat Vella,900.0,70,2,1
el Camp d'en Grassot i Gracia Nova,Gràcia,2300.0,57,1,1
l'Antiga Esquerra de l'Eixample,L'Eixample,3500.0,140,3,2
el Parc i la Llacuna del Poblenou,Sant Martí,800.0,75,3,1
Vallcarca i els Penitents,Sarrià-Sant Gervasi,1550.0,90,3,2
la Nova Esquerra de l'Eixample,L'Eixample,1450.0,145,3,2
Sant Pere. Santa Caterina i la Ribera,Ciutat Vella,2900.0,190,4,2
la Font de la Guatlla,Sants-Montjuïc,800.0,65,2,2
Vallcarca i els Penitents,Sarrià-Sant Gervasi,975.0,84,3,2
Vilapicina i la Torre Llobeta,Nou Barris,745.0,65,3,1
Sant Antoni,L'Eixample,1000.0,65,2,1
Gotic,Ciutat Vella,1432.0,43,1,1
Sant Antoni,L'Eixample,795.0,40,1,1
el Coll,Gràcia,1250.0,145,2,2
Hostafrancs,Sants-Montjuïc,1000.0,80,3,2
Sant Antoni,L'Eixample,1108.0,69,3,1
el Besos i el Maresme,Sant Martí,1460.0,77,3,2
les Tres Torres,Les Corts,1612.0,130,4,2
Sant Gervasi - Galvany,Sarrià-Sant Gervasi,2695.0,166,3,3
el Raval,Ciutat Vella,1000.0,70,2,2
Navas,Sant Andreu,950.0,65,2,1
el Parc i la Llacuna del Poblenou,Sant Martí,865.0,75,3,1
Sant Pere. Santa Caterina i la Ribera,Ciutat Vella,2500.0,72,2,2
Sarria,Les Corts,1450.0,80,3,1
el Raval,Ciutat Vella,950.0,75,2,1
Sant Antoni,L'Eixample,990.0,90,1,1
la Salut,Gràcia,790.0,60,2,1
el Raval,Ciutat Vella,750.0,34,1,1
el Congres i els Indians,Sant Andreu,900.0,62,3,1
el Parc i la Llacuna del Poblenou,Sant Martí,650.0,40,1,1
Sant Pere. Santa Caterina i la Ribera,Ciutat Vella,1900.0,135,3,4
l'Antiga Esquerra de l'Eixample,L'Eixample,2300.0,210,4,3
Gotic,Ciutat Vella,1300.0,83,1,1
Sant Antoni,L'Eixample,1100.0,89,3,2
Gotic,Ciutat Vella,1300.0,66,2,2
Sant Antoni,L'Eixample,1000.0,117,3,2
Sant Gervasi - la Bonanova,Les Corts,950.0,52,2,1
