barrio,distrito,price,size,rooms,bathrooms
el Camp d'en Grassot i Gracia Nova,Gràcia,1550.0,123,4,2
l'Antiga Esquerra de l'Eixample,L'Eixample,3460.0,135,4,2
Pedralbes,Les Corts,2600.0,205,4,4
Sant Gervasi - Galvany,Sarrià-Sant Gervasi,8400.0,724,5,4
l'Antiga Esquerra de l'Eixample,L'Eixample,2250.0,140,2,2
Vallcarca i els Penitents,Sarrià-Sant Gervasi,1600.0,70,2,2
el Raval,Ciutat Vella,825.0,50,1,1
Sarria,Les Corts,1500.0,80,2,2
Vallcarca i els Penitents,Sarrià-Sant Gervasi,1550.0,126,3,2
l'Antiga Esquerra de l'Eixample,L'Eixample,3475.0,130,3,3
Sant Antoni,L'Eixample,1000.0,80,2,2
